sentiment,sarcasm,vulgar,abuse,target,description,id
Neutral,True,True,False,gender,"The meme shows a man, labeled as Adam, asking a woman (presumably Eve) why she wears panties, in the context of Adam and Eve returning in the 21st century. The humor is based on the ironic juxtaposition of the ancient, unclothed figures of Adam and Eve with modern clothing. The mention of 'panties' makes it slightly vulgar due to the intimate nature of the garment. The question directly relates to female clothing and thus targets gender.",image_ben_4860.jpg
Negative,False,True,True,individual,"The meme shows cricketer Tim Paine with Bengali text. The text translates to ""Wicketkeeping and captaincy? No, I can't do any of that. I can only shit with my mouth, and that too constipated."" This is a highly vulgar and abusive statement, directed at the individual (Tim Paine) and his perceived abilities, expressing extreme self-deprecation or criticism.",image_ben_1273.png
Negative,True,True,False,individual,"The meme depicts a mother's disapproval of her son marrying a much younger woman (""young enough to be your knee's age""). The son's reply, ""You only saw the young age, mom... you didn't see the other 'big' things...!"", is highly sarcastic and uses a vulgar innuendo to refer to physical attributes. The overall sentiment is negative as it highlights and makes light of a socially contentious topic (age-gap marriage) with suggestive humor, targeting the individuals involved.",image_ben_3869.jpg
Negative,True,True,True,individual,"The meme uses a fake news format to portray a fabricated and vulgar scenario where a politician, Debangshu, faints after seeing the private parts of an actress, Srabanti, presented as 'breaking news'. It is sarcastic due to its absurd and mocking presentation in a news style, and abusive as it demeans and objectifies the individuals involved with vulgar language.",image_ben_493.png
Neutral,True,False,False,non-targeted,"The meme humorously contrasts a sister's enjoyment of televised fights on reality shows (Roadies, Splitsvilla, Big Boss) with her disapproval when her own parents talk loudly, highlighting a common human hypocrisy. The sentiment is neutral as it is a lighthearted observation, and it is sarcastic due to the ironic juxtaposition of reactions.",image_ben_4874.jpg
Neutral,True,False,False,gender,"The meme shows a woman asking a doctor, ""Why didn't you deliver the baby from the womb?"" The doctor replies, ""Because it was a boy, and I don't deliver boys (who are 'sighted'/sharp)."" This is a sarcastic and humorous play on words in Bengali, using an absurd reason related to the baby's gender. The joke derives its humor from the doctor's nonsensical prejudice, subtly touching on societal perceptions or preferences related to gender through satire.",image_ben_4684.jpg
Negative,True,True,True,individual,"The Bengali text ""চাটতে থাকুন"" (Chatte thakun) translates to ""Keep licking"" or ""Continue licking."" In this context, it is a vulgar and derogatory phrase often used sarcastically to imply that someone is being sycophantic, fawning, or excessively subservient. The meme's combination of this text with the individual's image targets that person with a negative and demeaning insinuation.",image_ben_3855.jpg
Negative,False,False,False,non-targeted,"The meme shows a young boy holding a baby whose mouth is on the boy's finger. Below, Bengali text reads ""After seeing this, I..."" next to a 'puke' rage face. The meme expresses a strong feeling of disgust or aversion towards the depicted scene, likely due to the perceived unhygienic nature of the baby's action. It is not targeted at any specific group or individual in an abusive way, but rather a reaction to a general observation.",image_ben_7399.jpg
Negative,True,False,True,individual,"The meme shows a woman with an exasperated expression. The top text in Bengali reads ""আপনি শুধু মুখ চালান বিমান দা"" (You just keep running your mouth, Biman Da), a dismissive and critical statement directed at an individual. The bottom text reads ""গুগল পে এখন সব জায়গায় চলে"" (Google Pay works everywhere now), which serves as a sarcastic contrast to highlight the perceived uselessness or outdatedness of the person being criticized. The statement is abusive as it implies the individual's words are worthless and annoying.",image_ben_322.png
Neutral,False,True,False,gender,"The meme uses a sexual innuendo in Bengali, 'six inches', to humorously comment on a bride's anticipated versus actual experience on her wedding night. The image of the tired-looking bride combined with the text suggests a private, intimate struggle. It is considered vulgar due to the explicit sexual reference and targets gender as it focuses on a common experience attributed to women on their wedding night.",image_ben_5203.jpg
