location,image_description,text,translated_text,id
Top,Text in black in Bengali about the return of Adam and the 21st century.,আদম ও ইড্ এর একবিংশ শতাব্দীতে প্রত্যাবর্ন অস্তিত্ব রাখে।,The return of Adam and Eve in the 21st century has existence.,image_ben_4860.jpg
Middle,A man in a striped shirt and glasses speaking to someone from behind.,*আদম,*Adam,image_ben_4860.jpg
Bottom,"A man in a striped shirt and glasses speaking to someone from behind, with text below.",তুমি প্যান্টটি পরো কেন বলোতো..?,Why are you wearing pants..?,image_ben_4860.jpg
Center,"A man in a cricket uniform, holding a bat, stands in front of a stadium. The text on the image is in Bengali.","উইকেটকিপিং আর ক্যাপ্টেন্সি ? না, আমি এসবের কোনোটা ই পারিনা । আমি শুধু মুখ দিয়ে হাগতে পারি, তাও আবার ব=","Wicketkeeping and captaincy? No, I can't do any of these. I can only poop from my mouth, that too again b=",image_ben_1273.png
Top,"An old woman with glasses is speaking angrily, with text overlayed.",শেষ পর্যন্ত একটা হাঁড়ুর বয়সী মেয়েকে বিয়ে করে আনলি?,"In the end, you married a girl younger than your knee?",image_ben_3869.jpg
Bottom,"A man wearing glasses is looking at the camera with a serious expression. To the right, a bride in traditional attire is partially visible. Text is overlayed at the bottom.",শুধু কম বয়স টাই দেখলে মা.. বাকি বড় বড় জিনিস গুলো তো দেখলে না ....!,"You only looked at her young age, Mom.. you didn't look at the big things...!",image_ben_3869.jpg
Top Left,"A man with glasses, wearing a blue hospital gown, lies on a hospital bed with a blue sheet covering him. His face appears to be photoshopped onto the body.","বিগ ব্রেকিং: দেবাংশুর বুকে পা দিয়ে যাওয়ার সময় শ্রাবন্তীর গু,হা দেখে অজ্ঞান হয়ে হাসপাতালে ভর্তি দেবাংশু.",Big Breaking: Debangshu admitted to hospital after fainting upon seeing Srabanti's vagina while stepping on his chest.,image_ben_493.png
Top Right,"A woman with long, wavy brown hair, red lipstick, and wearing a red dress poses for the camera.",,,image_ben_493.png
Bottom,"A man wearing a suit and tie, glasses, and a shirt is speaking, possibly as a news anchor or reporter.",অবস্থা খুবই আশঙ্কাজনক জানাচ্ছে আমাদের সংবাদ প্রতিনিধি.,Our correspondent reports that the condition is very alarming.,image_ben_493.png
Top Left,Text on a white background with Bengali and English words.,"Roadies, Splitsvilla
এবং big boss
এ ঝগড়া দেখার
পর আমার বোন","Roadies, Splitsvilla
and big boss
After watching the fight
my sister",image_ben_4874.jpg
Top Right,Text on a white background with Bengali words.,"মা-বাবার মধ্যে
একটু জোরে
কথা হলে
আমার বোন","Between mother and father
A little loudly
If there is talk
my sister",image_ben_4874.jpg
Bottom Left,"A fluffy white and orange kitten yawning widely, with green upholstery in the background. Text appears below the kitten.","wow!
কতো cute!","wow!
so cute!",image_ben_4874.jpg
Bottom Right,"A grey tabby kitten with wide eyes and mouth open, appearing to meow or yell. The background is blurred greenery. Text appears below the kitten.","তোমরা কী ঝগড়া
করা ছাড়া কথা
বলতে পারো না","Can you not talk
without fighting",image_ben_4874.jpg
top,A woman in a red sari looks at a man with a stern expression.,ডেলিভারিতে বাচ্চা বের করোনি কেন গার্ডের থেকে?,Why didn't you bring out the baby at delivery from the guard?,image_ben_4684.jpg
bottom right,A man wearing a doctor's coat and a yellow shirt looks at the woman with a confused expression.,কারন ওটা ছেলে ছিলো আর ছেলে আমি চোকাাই বের করি না,Because it was a boy and I don't get out boys.,image_ben_4684.jpg
Top,A Bengali text written in black color on a yellow background.,চাটতে থাকুন,Keep licking,image_ben_3855.jpg
Bottom Right,"A woman with long brown hair, wearing a white dress and a light colored scarf, smiling at the camera. Text watermark '@Achi' is visible on her dress.",@Achi,@Achi,image_ben_3855.jpg
top,"A young boy carries a baby on his shoulders, the baby is playfully biting the boy's finger.",,,image_ben_7399.jpg
bottom left,Text in Bengali.,এটা দেখার পর আমি,"After seeing this, I",image_ben_7399.jpg
bottom right,"A rage comic character is shown eating messily, with food spewing from its mouth.",,,image_ben_7399.jpg
Top,The top part of the image contains text in Bengali with a blurry background and a woman's face with closed eyes.,আপনি শুধু মুখ চালান বিমা দেন,"You just talk, give insurance",image_ben_322.png
Bottom,"The bottom part of the image shows the same woman's face looking upwards with her eyes closed and mouth slightly open, with Bengali text below.",গুগল পে এখন সব জায়গায় চলে,Google Pay runs everywhere now,image_ben_322.png
Top,Text in Bengali script with a watermark 'Kaus' on the right side.,"সারাজীবন ছাই isিষ্কর স্বপ্ন দেখে
ফুলশয্যার রাতে সত্যিই সত্যি
ছাই isিষ্কর চাপ সামলাতে হয়...","Lifelong dreams of a groom
On the wedding night, it's true
One has to handle the groom's pressure...",image_ben_5203.jpg
Center,"A young Indian woman adorned with traditional wedding jewelry and flowers, wearing a purple saree. She has dramatic eye makeup and a slight smile.",,,image_ben_5203.jpg
Top,A woman with short hair pointing her finger upwards.,যোগী সাম্প্রদায়িক!,Yogi is communal!,image_ben_444.png
Middle,"A woman with short hair pointing her finger upwards, with text below her.",তা না হলে উনি মসজিদ যায় না কেন?,"Otherwise, why doesn't he go to the mosque?",image_ben_444.png
Bottom,"A bald man with a saffron tilak on his forehead, looking seriously at the camera.","একবার বাবরী মসজিদে গিয়েছিলাম,
তারপর থেকে কেউ তো যেতে দিচ্ছে না,","Once I went to the Babri Masjid,
Since then, no one is letting me go,",image_ben_444.png
Top,A man is hugging a woman from behind. The woman is looking up. A pink speech bubble is coming from the woman's mouth.,তোমার কী ইচ্চে হয় না তোমাকে কেউ বাবা বলে ডাকুক?,Don't you want someone to call you Baba?,image_ben_7366.jpg
Mid-left,A man is hugging a woman from behind.,"হ্যাঁ, খুব ইচ্ছে হয়","Yes, I really want to",image_ben_7366.jpg
Bottom,A close-up of a man and a woman's faces. The woman is looking at the man. A black speech bubble is coming from the man's mouth.,তাহলে শুধু পাটি করার জায়গা কেন বড় কর?,Then why do you only enlarge the space for making paati?,image_ben_7366.jpg
top,The top part of the image shows text in Bengali. The text reads 'When Mahalaya has started but the boyfriend is gone because he likes morning sex'.,"যখন মহালয়া শুরু হয়েছে কিন্তু বর ছারছে
না কারন সে মর্নিং সেক্স পছন্দ করে",When Mahalaya has started but the boyfriend is gone because he likes morning sex,image_ben_4647.jpg
middle,"The middle part of the image shows a woman lying on a bed, with her head turned away and her eyes looking sideways. Her hair is dark and covers part of her face. She appears to be in an intimate setting.",,,image_ben_4647.jpg
Top left,Virat Kohli pointing forward and MS Dhoni smiling.,"বিরাট এবার
ইংল্যান্ড থেকে
যাওয়ার সময়
ইউসলেস কিছু নিব না","This time Virat, when leaving from England, will not take anything useless.",image_ben_7428.jpg
Top right,Virat Kohli smiling.,"ইউসলেস কিচ্ছুই
তো আমি নি",I am not taking anything useless at all.,image_ben_7428.jpg
Middle,MS Dhoni and Virat Kohli looking serious.,"কেন, ওই তো সুরেশ রায়না
কে এনেছি","Why, I have brought Suresh Raina.",image_ben_7428.jpg
Bottom,Virat Kohli laughing heartily and MS Dhoni smiling.,"যা বললে ওটা
পুরো ইউসলেস","Whatever you said, that is completely useless.",image_ben_7428.jpg
Top,A split image showing Saif Ali Khan on the left and his son Taimur Ali Khan on the right.,"ম, چلمانদের ছোটোবেলার ইচ্ছে গুলো...","M, the childhood wishes of the moving ones...",image_ben_478.png
