sentiment,sarcasm,vulgar,abuse,target,description,id
Neutral,True,False,False,gender,"The meme displays the Bodo text ""ignore kalamba bw jebw nga de"", which translates to ""ignore, girls don't have anything"" or ""ignore, that girl has nothing"". The text is accompanied by various emojis including smiling faces with tears, a frowning face, and a pleading face. The phrase, particularly with ""ignore"" and the general statement about girls, suggests a light-hearted, self-deprecating, or ironic commentary on perceived wants or needs related to gender. It is not abusive or vulgar.",image_bodo_63.jpg
Neutral,False,False,False,non-targeted,"The image contains only the text ""RANGINA 40K HWBY ANG"". Translating from Bodo, ""RANGINA"" means ""rich"" or ""wealthy"", and ""HWBY ANG"" means ""I am"". Thus, the phrase roughly translates to ""I am rich 40K"". Without any visual context or further information, this statement is interpreted as a neutral declaration. There are no clear indicators of sarcasm, vulgarity, or abuse, nor does it target any specific individual or group.",image_bodo_377.jpg
Negative,False,False,False,individual,"The meme's text, which translates to ""Even if I say I don't have a girlfriend, no crazy person's daughter will believe it,"" accompanied by a crying emoji, expresses a humorous lament about being single or unlucky in love. The sentiment is negative as it conveys a feeling of sadness or frustration (though in a comedic way) about one's personal romantic situation. It is not sarcastic, vulgar, or abusive. The target is the individual speaker's personal circumstances regarding relationships.",image_bodo_411.jpg
positive,False,False,False,social subgroups,"The meme, written in Bodo, translates to 'No girl other than a Nurse holds hands with a boy. So, I will stay sick in the Hospital.' This is a humorous and lighthearted statement expressing a personal desire, playfully targeting nurses as a social subgroup for a humorous scenario. It is not abusive, vulgar, or sarcastic.",image_bodo_439.jpg
Neutral,True,False,False,non-targeted,"The meme displays a video post from Konjita Boro with the Bodo caption ""Ang Dinnwi Manw Kuci Jakw Lwgwfwr 🙏"" (I am happy today friends 🙏). The image highlights a man holding a phone, explicitly labeling it ""iphone"", and is titled ""POWER OF VIRAL"". The overall tone is sarcastic, implicitly commenting on the perceived impact of internet virality leading to material possessions like an iPhone, juxtaposing a humble appearance with an expensive item. It's an ironic observation on the social dynamics and potential outcomes of internet fame, rather than a direct attack on any group.",image_bodo_607.jpg
Negative,False,False,True,individual,The comment directly warns the individual 'Bili ẞsty' that they will 'regret' and 'suffer even more' for their association with 'Gwdan'. This constitutes verbal abuse as it is an intimidating statement predicting severe negative consequences for the recipient.,image_bodo_613.jpg
Negative,False,False,False,non-targeted,"The meme, written in Bodo, expresses feelings of sadness and heartbreak. The text translates to 'Now the heart aches' and 'Will be lost from this world,' accompanied by crying emojis and a sad cartoon cat, indicating a strong negative sentiment and personal sorrow.",image_bodo_175.jpg
Neutral,True,False,False,non-targeted,"The meme is in Bodo language, featuring a simple cartoon character. The text ""Jamba ManC bra"" (Jamba man, bro) with a neutral face and sunflower emoji, and ""Raojngbw Naison Jaya"" (Raojngbw, not a sister) with a smiley face, indicates a lighthearted and playfully sarcastic interaction. There is no vulgar or abusive content, and it is not targeted at any specific group negatively.",image_bodo_149.jpg
Negative,False,False,False,gender,"The meme, written in Bodo, asks 'What is the most common work/habit of girls?' and provides options like 'Making Reels,' 'Gossiping,' 'Talking,' 'Delaying,' 'Watching mobile,' and 'Wandering.' This perpetuates negative stereotypes about girls and young women, leading to a negative sentiment and targeting the gender group. It is not vulgar, sarcastic, or directly abusive, but rather a stereotypical generalization.",image_bodo_3.jpg
Neutral,False,False,False,non-targeted,"The image contains a question in Bodo language asking what a ripe paddy field ready for harvest is called, with multiple-choice options. It is a straightforward, informative post without any negative, sarcastic, vulgar, or abusive content.",image_bodo_571.jpg
