location,image_description,text,translated_text,id
Top Text,"Blue text on a dark background, suggesting a comparison between flags and the moon. The text is in Gujarati.","કેટલાક દેશોના 'રાષ્ટ્રધ્વજ' પર ""ચંદ્ર"" છે..","Some countries have the ""moon"" on their ""national flag""..",Gujarati_image_698.jpg
Middle Text,"Blue text on a dark background, continuing the comparison. The text is in Gujarati.","જ્યારે આપણા દેશનો 'રાષ્ટ્રધ્વજ' ""ચંદ્ર"" પર છે..","Whereas our country's ""national flag"" is on the ""moon""..",Gujarati_image_698.jpg
Top Left Flags,"A grid of flags from different countries, including Pakistan, Turkey, Tunisia, Libya, Azerbaijan, Algeria, Malaysia, and another country with a crescent moon.",,,Gujarati_image_698.jpg
Main Image - Rocket Launch,"A large rocket launching into the night sky with flames and smoke emanating from its base, viewed from a low angle. It is on a launchpad with supporting structures.","ISRO
ઇસરો
ભાર
INDIA
LVM3","ISRO
ISRO
BHARAT
INDIA
LVM3",Gujarati_image_698.jpg
Top Right Inset,"A truck carrying a large white rocket with the Indian flag and emblem visible on its side. The truck is orange and is on a road with trees in the background. There is also a circular logo with text ""GUJJU ROCKS TEAM"" and a hand gesture.","VOLVO
GOVT. OF INDIA","VOLVO
GOVT. OF INDIA",Gujarati_image_698.jpg
Bottom Text,"Yellow text on a dark blue background, stating ""PROUD TO BE AN INDIAN..."" followed by Gujarati text and an Indian flag emoji.","PROUD TO BE AN INDIAN...
ચંદ્રયાન -3 ઇતિહાસ રચશે !!","PROUD TO BE AN INDIAN...
Chandrayaan-3 will create history !!",Gujarati_image_698.jpg
Social Media Icon,Instagram and Facebook logos followed by the text '/GujjuRocks'.,/GujjuRocks,/GujjuRocks,Gujarati_image_698.jpg
middle image,"A young man in a plaid shirt is smoking and looking away, with a blurry background of trees and a building. There is text overlaid on the image.",ભાઈ તને કેમ ખબર?,"Brother, how do you know?",Gujarati_image_840.jpg
bottom text,"The same young man is shown, with two skull emojis below the text.",અમે દેવાયત નો ડાયરો સાંભળવા જઈ,We are going to listen to Devayat's show,Gujarati_image_840.jpg
Top left corner,Text in Gujarati which says 'Videshi Grams channel',વિદેશીગ્રામડિઓ,Videshi Grams channel,Gujarati_image_1232.jpg
