location,image_description,text,translated_text,id
top left,A man in a white shirt is talking to another man in a pink shirt in a dimly lit room with lamps in the background.,bhai tu muth marta hai kya,"Brother, do you masturbate?",Hindi_image_1877.jpg
middle left,"A man with intense eyes is looking forward, with a speech bubble near him.",Han,Yes,Hindi_image_1877.jpg
middle right,A man in a white shirt is looking sideways with a speech bubble.,Kitne paise leta hai,How much money does he take?,Hindi_image_1877.jpg
bottom center,"Two men are sitting at a table, one in a white shirt and the other in a pink shirt. The man in the pink shirt is laughing heartily, gesturing with his hand, while the man in the white shirt is looking at him with a smile.",Prajjwal sharma,Prajjwal sharma,Hindi_image_1877.jpg
center,"A yellow smiley face with big blue eyes and a wide smile, with its hands cupped together. Text is superimposed on the image.",भाड़ में जा,Go to hell,Hindi_image_1687.jpg
Top banner,"Black banner with white text ""During classes what they heard""",During classes what they heard,During classes what they heard,Hindi_image_1678.jpg
Top image with text,"A man with a confused expression looking at the camera, surrounded by other people in a classroom setting. Text below him says ""Delhi main Qutub Minar hae""","First Bencher
""Delhi main Qutub Minar hae""","First Bencher
""Qutub Minar is in Delhi""",Hindi_image_1678.jpg
Bottom image with text,"Two men in a classroom setting, one in the foreground looking confused and the other slightly behind him also looking confused. Text below them says ""Delhi main Kutta bimar hae""","Back benchers
""Delhi main Kutta bimar hae""","Back benchers
""A dog is sick in Delhi""",Hindi_image_1678.jpg
Top,"The meme has a title that says ""When My Best Friend was Born!!""",When My Best Friend was Born!!,When My Best Friend was Born!!,Hindi_image_2371.jpg
Bottom,"The image shows a group of people with smiling faces looking down at someone, perhaps a baby. The text at the bottom is in Hindi.",Yeh Chutiya Hi Banega.,He will become a fool.,Hindi_image_2371.jpg
center,"A view from inside an auto-rickshaw, looking out at a roadside mural and traffic.",bokachoda,bokachoda,Hindi_image_1122.jpg
top left text,,रेस्टोरेंट में,In restaurants,Hindi_image_1644.jpg
top right text,,घर में,At home,Hindi_image_1644.jpg
bottom left image,A woman eating in a restaurant,,,Hindi_image_1644.jpg
bottom right image,A woman eating at home with a ladle,,,Hindi_image_1644.jpg
bottom text,Several laughing emojis,"सही है
ना","It's right
No",Hindi_image_1644.jpg
Top,Piyush Goyal is seen smiling and pointing his finger upwards while wearing a checkered shirt and a dark blue waistcoat.,Maths didn't help Einstein discover gravity - Piyush Goyal,Maths didn't help Einstein discover gravity - Piyush Goyal,Hindi_image_1650.jpg
Bottom,"A woman wearing glasses and headphones, dressed in a white and pink saree, is seated and speaking.",BAITHO BETA BAHUT KUCH SAMAZ NA HAI ZINDAGI MAI,"Sit down son, you need to understand a lot in life.",Hindi_image_1650.jpg
Center,"A close-up shot of a woman's face, with her eyes looking slightly off-camera.",Bina kuch kiye thak jati hu,I get tired without doing anything,Hindi_image_1888.jpg
top image,A man in a white shirt is looking sternly at another man in a light brown patterned shirt.,"Chutiya hai yeh important nahi, hamara ladka hai yeh important hai","He is an idiot, that is not important, he is our son, that is important",Hindi_image_2359.jpg
bottom image,"A man in a white shirt is looking down with a grim expression, while two other men are in the background.",Aapka hai to kagaz dikhaiye,"If it's yours, then show the papers",Hindi_image_2359.jpg
Bottom text,A man in a light green shirt is shown with text overlayed on the image.,"Akele rahe, Mujh jesy toxic se dur rahe aur khush rahe","Stay alone, stay away from toxic people like me and stay happy",Hindi_image_1136.jpg
Top,"A wedding scene where a bride and groom are seated, and two children are being kissed by someone. The children are circled in black.",,,Hindi_image_824.jpg
Top Left,"Two children are being kissed, circled in black.",,,Hindi_image_824.jpg
Top Center,A bride in traditional attire with flower garlands around her neck.,,,Hindi_image_824.jpg
Top Right,A groom in traditional attire with flower garlands.,,,Hindi_image_824.jpg
Bottom Left,A red rectangular box with white text 'Titu Mama'.,Titu Mama,Titu Mama,Hindi_image_824.jpg
Bottom Right,A man with long hair and a mustache looking at the camera with a surprised expression. He is wearing an orange hoodie and giving a peace sign with his right hand. There is a small logo in the top right corner with the text 'BHUVAN BAM'.,"BHUVAN BAM
SAHI KHEL GAYE BANCHO","BHUVAN BAM
You played well, dude",Hindi_image_824.jpg
Top Left,"A close-up of a baby's face, smiling.",,,Hindi_image_830.jpg
Top Right,A portrait of Karan Johar wearing glasses.,,,Hindi_image_830.jpg
Bottom left,A red banner with white text that says 'NG NEWS'.,NG NEWS,NG NEWS,Hindi_image_830.jpg
Bottom center,Text in Hindi below the 'NG NEWS' banner.,बड़ा खुलासा कॉफ़ी विथ करण में जाएंगे ते,"Big revelation, going to Koffee with Karan",Hindi_image_830.jpg
Bottom center below previous text,More Hindi text below the previous line.,"बस छक्के की गांड तो मैं मरूंगा ,और फिर बोलूंगा आज","I will hit the sixer's ass, and then I will say today",Hindi_image_830.jpg
Bottom center below previous text,More Hindi text below the previous line.,"सा पांड्या हुए भावुक बोला ""मेरा तैमूर","Pandya became emotional and said ""My Taimur",Hindi_image_830.jpg
Top,A text box with Hindi script.,Traffic Police वाले 100 की नोट लेते नहीं थे,Traffic police did not accept 100 notes,Hindi_image_1485.jpg
Top middle,Two smiley emojis with wide smiles.,,,Hindi_image_1485.jpg
Middle,A text box with Hindi script and an emoji of a 200 rupee note.,और हम 500 की देते नहीं थे |,And we did not give 500s |,Hindi_image_1485.jpg
Middle,"A text box with Hindi script, saying that RBI found a solution.",तभी RBI ने 200 की नोट छाप कर बिच का रास्ता निकाला है |,Then RBI found a middle way by printing 200 notes |,Hindi_image_1485.jpg
Bottom left,"A large, laughing emoji.","Like us on Facebook:
@SaleChutiya","Like us on Facebook:
@SaleChutiya",Hindi_image_1485.jpg
